model_name,n_processes,repeat,execution_time_ms,total_parallel_time_ms,baseline_time_ms,speedup_factor,parallel_efficiency,scaling_type
Anticonvulsant Legacy Markov,11,0,2100.08554,23100.94094,494.6279526,0.235527526,0.021411593,task_parallel
Anticonvulsant Legacy Markov,11,1,1748.122432,19229.34675,494.6279526,0.282948118,0.025722556,task_parallel
Anticonvulsant Legacy Markov,11,2,1098.266753,12080.93429,494.6279526,0.450371416,0.040942856,task_parallel
Anticonvulsant Legacy Markov,11,3,1113.42079,12247.62869,494.6279526,0.444241707,0.04038561,task_parallel
Anticonvulsant Legacy Markov,11,4,620.7278208,6828.006029,494.6279526,0.796851593,0.072441054,task_parallel
Anticonvulsant Legacy Markov,12,0,1152.975321,13835.70385,494.6279526,0.429001336,0.035750111,task_parallel
Anticonvulsant Legacy Markov,12,1,1785.269161,21423.22993,494.6279526,0.277060716,0.023088393,task_parallel
Anticonvulsant Legacy Markov,12,2,1334.039728,16008.47673,494.6279526,0.37077453,0.030897877,task_parallel
Anticonvulsant Legacy Markov,12,3,1657.50736,19890.08832,494.6279526,0.298416746,0.024868062,task_parallel
Anticonvulsant Legacy Markov,12,4,1400.871078,16810.45294,494.6279526,0.353085991,0.029423833,task_parallel
Anticonvulsant CTBN Markov,1,0,1804.182053,1804.182053,183.1121445,0.101493164,0.101493164,task_parallel
Anticonvulsant CTBN Markov,1,1,1543.514252,1543.514252,183.1121445,0.118633271,0.118633271,task_parallel
Anticonvulsant CTBN Markov,1,2,1574.007988,1574.007988,183.1121445,0.116334952,0.116334952,task_parallel
Anticonvulsant CTBN Markov,1,3,1557.596922,1557.596922,183.1121445,0.117560674,0.117560674,task_parallel
Anticonvulsant CTBN Markov,1,4,1253.777981,1253.777981,183.1121445,0.146048301,0.146048301,task_parallel
Anticonvulsant CTBN Markov,2,0,629.7684908,1259.536982,183.1121445,0.290761045,0.145380522,task_parallel
Anticonvulsant CTBN Markov,2,1,616.3394451,1232.67889,183.1121445,0.297096261,0.14854813,task_parallel
Anticonvulsant CTBN Markov,2,2,755.4594278,1510.918856,183.1121445,0.242385147,0.121192574,task_parallel
Anticonvulsant CTBN Markov,2,3,834.5321417,1669.064283,183.1121445,0.219418924,0.109709462,task_parallel
Anticonvulsant CTBN Markov,2,4,853.0564308,1706.112862,183.1121445,0.214654199,0.107327099,task_parallel
Anticonvulsant CTBN Markov,3,0,1116.654317,3349.96295,183.1121445,0.163982839,0.054660946,task_parallel
Anticonvulsant CTBN Markov,3,1,1018.758059,3056.274176,183.1121445,0.179740561,0.05991352,task_parallel
Anticonvulsant CTBN Markov,3,2,666.4876938,1999.463081,183.1121445,0.274741974,0.091580658,task_parallel
Anticonvulsant CTBN Markov,3,3,520.6549168,1561.96475,183.1121445,0.351695794,0.117231931,task_parallel
Anticonvulsant CTBN Markov,3,4,507.6150099,1522.84503,183.1121445,0.360730358,0.120243453,task_parallel
Anticonvulsant CTBN Markov,4,0,408.9402556,1635.761023,183.1121445,0.447772363,0.111943091,task_parallel
Anticonvulsant CTBN Markov,4,1,451.3142109,1805.256844,183.1121445,0.405730952,0.101432738,task_parallel
Anticonvulsant CTBN Markov,4,2,548.0312705,2192.125082,183.1121445,0.334127183,0.083531796,task_parallel
Anticonvulsant CTBN Markov,4,3,617.4274087,2469.709635,183.1121445,0.29657275,0.074143187,task_parallel
Anticonvulsant CTBN Markov,4,4,492.3824072,1969.529629,183.1121445,0.371890104,0.092972526,task_parallel
Anticonvulsant CTBN Markov,5,0,407.9752445,2039.876223,183.1121445,0.448831509,0.089766302,task_parallel
Anticonvulsant CTBN Markov,5,1,405.7010174,2028.505087,183.1121445,0.451347511,0.090269502,task_parallel
Anticonvulsant CTBN Markov,5,2,454.5144081,2272.572041,183.1121445,0.402874235,0.080574847,task_parallel
Anticonvulsant CTBN Markov,5,3,555.7287693,2778.643847,183.1121445,0.329499127,0.065899825,task_parallel
Anticonvulsant CTBN Markov,5,4,626.3185978,3131.592989,183.1121445,0.292362617,0.058472523,task_parallel
Anticonvulsant CTBN Markov,6,0,472.8231033,2836.93862,183.1121445,0.387274106,0.064545684,task_parallel
Anticonvulsant CTBN Markov,6,1,816.3510164,4898.106098,183.1121445,0.224305649,0.037384275,task_parallel
Anticonvulsant CTBN Markov,6,2,515.5085325,3093.051195,183.1121445,0.355206816,0.059201136,task_parallel
Anticonvulsant CTBN Markov,6,3,617.7428166,3706.4569,183.1121445,0.296421325,0.049403554,task_parallel
Anticonvulsant CTBN Markov,6,4,470.8583752,2825.150251,183.1121445,0.388890066,0.064815011,task_parallel
Anticonvulsant CTBN Markov,7,0,467.110157,3269.771099,183.1121445,0.392010625,0.056001518,task_parallel
Anticonvulsant CTBN Markov,7,1,743.0557183,5201.390028,183.1121445,0.246431243,0.035204463,task_parallel
Anticonvulsant CTBN Markov,7,2,968.6294283,6780.405998,183.1121445,0.189042516,0.027006074,task_parallel
Anticonvulsant CTBN Markov,7,3,889.3569538,6225.498676,183.1121445,0.205892745,0.029413249,task_parallel
Anticonvulsant CTBN Markov,7,4,1212.677036,8488.739252,183.1121445,0.150998278,0.021571183,task_parallel
Anticonvulsant CTBN Markov,8,0,583.7028921,4669.623137,183.1121445,0.31370779,0.039213474,task_parallel
Anticonvulsant CTBN Markov,8,1,483.9132428,3871.305943,183.1121445,0.378398705,0.047299838,task_parallel
Anticonvulsant CTBN Markov,8,2,460.9811008,3687.848806,183.1121445,0.397222672,0.049652834,task_parallel
Anticonvulsant CTBN Markov,8,3,403.5262465,3228.209972,183.1121445,0.453780011,0.056722501,task_parallel
Anticonvulsant CTBN Markov,8,4,416.9602394,3335.681915,183.1121445,0.439159726,0.054894966,task_parallel
Anticonvulsant CTBN Markov,9,0,508.4486802,4576.038122,183.1121445,0.360138892,0.040015432,task_parallel
Anticonvulsant CTBN Markov,9,1,707.7500025,6369.750023,183.1121445,0.258724329,0.028747148,task_parallel
Anticonvulsant CTBN Markov,9,2,1123.701016,10113.30914,183.1121445,0.162954506,0.018106056,task_parallel
Anticonvulsant CTBN Markov,9,3,809.639189,7286.752701,183.1121445,0.22616512,0.025129458,task_parallel
Anticonvulsant CTBN Markov,9,4,863.2335663,7769.102097,183.1121445,0.212123522,0.02356928,task_parallel
Anticonvulsant CTBN Markov,10,0,838.906312,8389.06312,183.1121445,0.218274844,0.021827484,task_parallel
Anticonvulsant CTBN Markov,10,1,446.7974901,4467.974901,183.1121445,0.409832527,0.040983253,task_parallel
Anticonvulsant CTBN Markov,10,2,397.6100922,3976.100922,183.1121445,0.460531933,0.046053193,task_parallel
Anticonvulsant CTBN Markov,10,3,361.51371,3615.1371,183.1121445,0.506515076,0.050651508,task_parallel
Anticonvulsant CTBN Markov,10,4,349.1925001,3491.925001,183.1121445,0.524387392,0.052438739,task_parallel
Anticonvulsant CTBN Markov,11,0,389.1976313,4281.173944,183.1121445,0.470486277,0.04277148,task_parallel
Anticonvulsant CTBN Markov,11,1,392.6812952,4319.494247,183.1121445,0.466312368,0.042392033,task_parallel
Anticonvulsant CTBN Markov,11,2,456.7755352,5024.530888,183.1121445,0.40087993,0.03644363,task_parallel
Anticonvulsant CTBN Markov,11,3,410.9597206,4520.556927,183.1121445,0.445572,0.040506545,task_parallel
Anticonvulsant CTBN Markov,11,4,605.8870012,6664.757013,183.1121445,0.302221609,0.027474692,task_parallel
Anticonvulsant CTBN Markov,12,0,1113.800665,13365.60798,183.1121445,0.164402976,0.013700248,task_parallel
Anticonvulsant CTBN Markov,12,1,1069.956501,12839.47802,183.1121445,0.171139803,0.01426165,task_parallel
Anticonvulsant CTBN Markov,12,2,590.7416542,7088.899851,183.1121445,0.309969922,0.025830827,task_parallel
Anticonvulsant CTBN Markov,12,3,679.8341473,8158.009768,183.1121445,0.26934826,0.022445688,task_parallel
Anticonvulsant CTBN Markov,12,4,853.0584971,10236.70197,183.1121445,0.214653679,0.017887807,task_parallel
